AMZ URL	ML URL	ML title	URLs	Difference
https://www.amazon.com/-/es/NaturalSlim-MagicMag-C%C3%A1psulas-citrato-magnesio/dp/B074ZN1813	https://articulo.mercadolibre.com.co/MCO-621734238	Magicmag Citrato De Magnesio & Potasio Frank Suarez	https://www.amazon.com/-/es/NaturalSlim-MagicMag-C%C3%A1psulas-citrato-magnesio/dp/B074ZN1813                            https://www.amazon.com/-/es/NaturalSlim-MagicMag-C%C3%A1psulas-citrato-magnesio/dp/B074ZN1813                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B00U9LEEYI                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B00U9LEEYI                            https://www.amazon.com/-/es/NaturalSlim-Dynamic-Duo-equilibrio-electrolitos/dp/B09CF3WPKD                            https://www.amazon.com/-/es/NaturalSlim-Dynamic-Duo-equilibrio-electrolitos/dp/B09CF3WPKD                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B07BFGZCJ9                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B07BFGZCJ9                            https://www.amazon.com/-/es/NaturalSlim-estre%C3%B1imiento-digestivo-intestinal-Formulado/dp/B09WZ1XPNF                            https://www.amazon.com/-/es/NaturalSlim-estre%C3%B1imiento-digestivo-intestinal-Formulado/dp/B09WZ1XPNF                            https://www.amazon.com/-/es/C%C3%A1psulas-magnesio-suplemento-muscular-absorci%C3%B3n/dp/B09BKBH74H                            https://www.amazon.com/-/es/C%C3%A1psulas-magnesio-suplemento-muscular-absorci%C3%B3n/dp/B09BKBH74H                            https://www.amazon.com/-/es/C%C3%A1psulas-citrato-magnesio-primera-calidad/dp/B01N01YMA4                            https://www.amazon.com/-/es/C%C3%A1psulas-citrato-magnesio-primera-calidad/dp/B01N01YMA4                            https://www.amazon.com/-/es/magnesio-porciones-recuento-Suplemento-relajaci%C3%B3n/dp/B0BS74QBCC                            https://www.amazon.com/-/es/magnesio-porciones-recuento-Suplemento-relajaci%C3%B3n/dp/B0BS74QBCC                            	8
https://www.amazon.com/-/es/NaturalSlim-MagicMag-C%C3%A1psulas-citrato-magnesio/dp/B074ZN1813	https://articulo.mercadolibre.com.co/MCO-896603467	Magicmag Citrato De Magnesio Antiestres Naturalslim	https://www.amazon.com/-/es/NaturalSlim-MagicMag-C%C3%A1psulas-citrato-magnesio/dp/B074ZN1813                            https://www.amazon.com/-/es/NaturalSlim-MagicMag-C%C3%A1psulas-citrato-magnesio/dp/B074ZN1813                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B00U9LEEYI                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B00U9LEEYI                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B07BFGZCJ9                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B07BFGZCJ9                            https://www.amazon.com/-/es/NaturalSlim-Dynamic-Duo-equilibrio-electrolitos/dp/B09CF3WPKD                            https://www.amazon.com/-/es/NaturalSlim-Dynamic-Duo-equilibrio-electrolitos/dp/B09CF3WPKD                            https://www.amazon.com/-/es/NaturalSlim-magnesio-transparente-borosilicato-aislamiento/dp/B092MWYKLP                            https://www.amazon.com/-/es/NaturalSlim-magnesio-transparente-borosilicato-aislamiento/dp/B092MWYKLP                            https://www.amazon.com/-/es/NaturalSlim-Kit-relajante-para-estr%C3%A9s/dp/B0872HRWT4                            https://www.amazon.com/-/es/NaturalSlim-Kit-relajante-para-estr%C3%A9s/dp/B0872HRWT4                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B00U9LEEYI                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B07BFGZCJ9                            https://www.amazon.com/-/es/NaturalSlim-Dynamic-Duo-equilibrio-electrolitos/dp/B09CF3WPKD                            https://www.amazon.com/-/es/magnesio-metabolismo-saludable-formaci%C3%B3n-desarrollo/dp/B08CJ5TCZW                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B00U9LEEYI                            https://www.amazon.com/-/es/NaturalSlim-MagicMag-C%C3%A1psulas-citrato-magnesio/dp/B074ZN1813                            https://www.amazon.com/-/es/NaturalSlim-MagicMag-C%C3%A1psulas-citrato-magnesio/dp/B07SNXP12P                            https://www.amazon.com/-/es/NaturalSlim-MagicMag-C%C3%A1psulas-citrato-magnesio/dp/B07SM23336                            https://www.amazon.com/-/es/NaturalSlim-antiestr%C3%A9s-metabolismo-estre%C3%B1imiento-dificultades/dp/B07BFH3W33                            https://www.amazon.com/-/es/Metabolismo-saludable-formaci%C3%B3n-desarrollo-Desarrollar/dp/B08CJB7F94                            https://www.amazon.com/-/es/Metabolismo-saludable-formaci%C3%B3n-desarrollo-Desarrollar/dp/B08CJB7F94                            	18
https://www.amazon.com/-/es/Nutrition-suplemento-absorci%C3%B3n-relajaci%C3%B3n-recuperaci%C3%B3n/dp/B0856W2S14	https://articulo.mercadolibre.com.co/MCO-1271584123	Magnesio Complex 500 Mg Premium Nobi Nutrition 120 Cap	https://www.amazon.com/-/es/Nutrition-suplemento-absorci%C3%B3n-relajaci%C3%B3n-recuperaci%C3%B3n/dp/B0856W2S14                            https://www.amazon.com/-/es/Nutrition-suplemento-absorci%C3%B3n-relajaci%C3%B3n-recuperaci%C3%B3n/dp/B0856W2S14                            https://www.amazon.com/-/es/Complejo-magnesio-alta-absorci%C3%B3n-500/dp/B07BSP6GDT                            https://www.amazon.com/-/es/Complejo-magnesio-alta-absorci%C3%B3n-500/dp/B07BSP6GDT                            https://www.amazon.com/-/es/Complejo-magnesio-suplemento-%C3%B3xido-citrato/dp/B08CV659QD                            https://www.amazon.com/-/es/Complejo-magnesio-suplemento-%C3%B3xido-citrato/dp/B08CV659QD                            https://www.amazon.com/-/es/C%C3%A1psulas-suplemento-complejo-magnesio-500/dp/B094J1N8PF                            https://www.amazon.com/-/es/C%C3%A1psulas-suplemento-complejo-magnesio-500/dp/B094J1N8PF                            https://www.amazon.com/-/es/C%C3%A1psulas-citrato-magnesio-primera-calidad/dp/B01N01YMA4                            https://www.amazon.com/-/es/C%C3%A1psulas-citrato-magnesio-primera-calidad/dp/B01N01YMA4                            https://www.amazon.com/-/es/Complejo-magnesio-500-bisglicinato-Suplemento/dp/B07YZ4YYYZ                            https://www.amazon.com/-/es/Complejo-magnesio-500-bisglicinato-Suplemento/dp/B07YZ4YYYZ                            https://www.amazon.com/-/es/Vitalitown-Complejo-glicinato-absorci%C3%B3n-digesti%C3%B3n/dp/B08FQWXCVS                            https://www.amazon.com/-/es/Vitalitown-Complejo-glicinato-absorci%C3%B3n-digesti%C3%B3n/dp/B08FQWXCVS                            https://www.amazon.com/-/es/Livingood-Daily-Magnesio-300mg-biodisponibilidad/dp/B0C7SQ69RT                            https://www.amazon.com/-/es/Livingood-Daily-Magnesio-300mg-biodisponibilidad/dp/B0C7SQ69RT                            https://www.amazon.com/-/es/Complejo-magnesio-500-Suplemento-glicinato/dp/B0CBN8CL8N                            https://www.amazon.com/-/es/Complejo-magnesio-500-Suplemento-glicinato/dp/B0CBN8CL8N                            https://www.amazon.com/-/es/Complejo-magnesio-Suplemento-elemental-1000/dp/B0BH7VS812                            https://www.amazon.com/-/es/Complejo-magnesio-Suplemento-elemental-1000/dp/B0BH7VS812                            	5
https://www.amazon.com/-/es/Nordic-Naturals-Zero-Sugar-masticables/dp/B07WMZTX28	https://articulo.mercadolibre.com.co/MCO-1319052507	Dha Niños 600 Mg Omega 3 Con Epa Nordic Naturals 30 Gomitas	https://www.amazon.com/-/es/Nordic-Naturals-Zero-Sugar-masticables/dp/B07WMZTX28                            https://www.amazon.com/-/es/Nordic-Naturals-Zero-Sugar-masticables/dp/B07WMZTX28                            https://www.amazon.com/-/es/Nordic-Naturals-Omega-3-Gummy-Tangerine/dp/B002CQU582                            https://www.amazon.com/-/es/Nordic-Naturals-Omega-3-Gummy-Tangerine/dp/B002CQU582                            https://www.amazon.com/-/es/Naturals-Omega-3-Gusanos-gusanos-porciones/dp/B003DV6CGY                            https://www.amazon.com/-/es/Naturals-Omega-3-Gusanos-gusanos-porciones/dp/B003DV6CGY                            https://www.amazon.com/-/es/Naturals-masticables-desarrollo-cerebral-porciones/dp/B07B434J1M                            https://www.amazon.com/-/es/Naturals-masticables-desarrollo-cerebral-porciones/dp/B07B434J1M                            https://www.amazon.com/-/es/Nordic-Naturals-suplemento-desarrollo-cerebral/dp/B000PSX1SA                            https://www.amazon.com/-/es/Nordic-Naturals-suplemento-desarrollo-cerebral/dp/B000PSX1SA                            https://www.amazon.com/-/es/Naturals-Gomitas-Omega-3-mandarina-gomitas/dp/B002CQU57S                            https://www.amazon.com/-/es/Naturals-Gomitas-Omega-3-mandarina-gomitas/dp/B002CQU57S                            https://www.amazon.com/-/es/Nordic-Naturals-suplemento-desarrollo-cerebral/dp/B07KRLHG8C                            https://www.amazon.com/-/es/Nordic-Naturals-suplemento-desarrollo-cerebral/dp/B07KRLHG8C                            https://www.amazon.com/-/es/Naturals-Gomitas-Omega-3-mandarina-gomitas/dp/B007NS7UDW                            https://www.amazon.com/-/es/Naturals-Gomitas-Omega-3-mandarina-gomitas/dp/B007NS7UDW                            https://www.amazon.com/-/es/Naturals-limonada-zeaxantina-antioxidante-porciones/dp/B08M9QH3YY                            https://www.amazon.com/-/es/Naturals-limonada-zeaxantina-antioxidante-porciones/dp/B08M9QH3YY                            https://www.amazon.com/-/es/Gomitas-Omega-masticables-cerebral-natural/dp/B07Z879YCL                            https://www.amazon.com/-/es/Gomitas-Omega-masticables-cerebral-natural/dp/B07Z879YCL                            	19
https://www.amazon.com/-/es/Swanson-Indole-3-Carbinol-Resveratrol-Suplemento-protecci%C3%B3n/dp/B0017O74X4	https://articulo.mercadolibre.com.co/MCO-1271543163	Swanson Indol 3 Carbinol Con Resveratrol 200 Mg 60 Capsulas	https://www.amazon.com/-/es/Swanson-Indole-3-Carbinol-Resveratrol-Suplemento-protecci%C3%B3n/dp/B0017O74X4                            https://www.amazon.com/-/es/Swanson-Indole-3-Carbinol-Resveratrol-Suplemento-protecci%C3%B3n/dp/B0017O74X4                            https://www.amazon.com/-/es/Swanson-Indole-3-Carbinol-Resveratrol-Suplemento-protecci%C3%B3n/dp/B077J15Q5R                            https://www.amazon.com/-/es/Swanson-Indole-3-Carbinol-Resveratrol-Suplemento-protecci%C3%B3n/dp/B077J15Q5R                            https://www.amazon.com/-/es/Indole-3-Carbinol-C%C3%A1psulas-Vegetales-Physician-Formulas/dp/B00HS1CKBG                            https://www.amazon.com/-/es/Indole-3-Carbinol-C%C3%A1psulas-Vegetales-Physician-Formulas/dp/B00HS1CKBG                            https://www.amazon.com/-/es/Indole-3-Carbinol-I3C-200-c%C3%A1psulas-vegetales/dp/B01CGW25JI                            https://www.amazon.com/-/es/Indole-3-Carbinol-I3C-200-c%C3%A1psulas-vegetales/dp/B01CGW25JI                            https://www.amazon.com/-/es/Swanson-Indole-3-Carbinol-Resveratrol-Suplemento-protecci%C3%B3n/dp/B01887DY22                            https://www.amazon.com/-/es/Swanson-Indole-3-Carbinol-Resveratrol-Suplemento-protecci%C3%B3n/dp/B01887DY22                            https://www.amazon.com/-/es/Indole-3-Carbinol-Suplemento-metabolismo-estr%C3%B3geno-c%C3%A1psulas/dp/B007LLE7JQ                            https://www.amazon.com/-/es/Indole-3-Carbinol-Suplemento-metabolismo-estr%C3%B3geno-c%C3%A1psulas/dp/B007LLE7JQ                            https://www.amazon.com/-/es/Suplementos-Indole-3-Carbinol-extracto-c%C3%A1psulas-vegetales/dp/B0013OSN6A                            https://www.amazon.com/-/es/Suplementos-Indole-3-Carbinol-extracto-c%C3%A1psulas-vegetales/dp/B0013OSN6A                            https://www.amazon.com/-/es/Encapsulations-Indole-3-Carbinol-saludable-cervicales-c%C3%A1psulas/dp/B0015XA344                            https://www.amazon.com/-/es/Encapsulations-Indole-3-Carbinol-saludable-cervicales-c%C3%A1psulas/dp/B0015XA344                            https://www.amazon.com/-/es/SOLARAY-Indole-3-Supreme-Cruciferous-Vegetables/dp/B00534DL2W                            https://www.amazon.com/-/es/SOLARAY-Indole-3-Supreme-Cruciferous-Vegetables/dp/B00534DL2W                            https://www.amazon.com/-/es/Carlyle-Indole-3-Carbinol-C%C3%A1psulas-avanzada-extracto/dp/B07G7J4Y17                            https://www.amazon.com/-/es/Carlyle-Indole-3-Carbinol-C%C3%A1psulas-avanzada-extracto/dp/B07G7J4Y17                            	21
https://www.amazon.com/-/es/Vitamina-1-000-IU-D-Alfa-Tocoferol-Tocoferol-100-Unidades/dp/B00128X11E	https://articulo.mercadolibre.com.co/MCO-1319039719	Vitamina E 1.000 Iu De D-alfa-tocoferol Mixto Natural X 100	https://www.amazon.com/-/es/Vitamina-1-000-IU-D-Alfa-Tocoferol-Tocoferol-100-Unidades/dp/B00128X11E                            https://www.amazon.com/-/es/Vitamina-1-000-IU-D-Alfa-Tocoferol-Tocoferol-100-Unidades/dp/B00128X11E                            https://www.amazon.com/-/es/Vitamina-1-000-IU-D-Alfa-Tocoferol-Tocoferol-100-Unidades/dp/B00S9YO12M                            https://www.amazon.com/-/es/Vitamina-1-000-IU-D-Alfa-Tocoferol-Tocoferol-100-Unidades/dp/B00S9YO12M                            https://www.amazon.com/-/es/Natures-Life-Vitamina-000-100/dp/B00020IFK0                            https://www.amazon.com/-/es/Natures-Life-Vitamina-000-100/dp/B00020IFK0                            https://www.amazon.com/-/es/Healthy-Origins-Vitamina-naturales-tocoferoles/dp/B0085WPUDC                            https://www.amazon.com/-/es/Solgar-Vitamina-670-1000-Antioxidante/dp/B00014FD20                            https://www.amazon.com/-/es/Solgar-Vitamina-670-1000-Antioxidante/dp/B00014FD20                            https://www.amazon.com/-/es/BlueBonnet-Vitamina-c%C3%A1psulas-blandas-unidades/dp/B001RM91H8                            https://www.amazon.com/-/es/BlueBonnet-Vitamina-c%C3%A1psulas-blandas-unidades/dp/B001RM91H8                            https://www.amazon.com/-/es/tocoferol-saludable-antioxidante-verificado-laboratorio/dp/B0027ABBK4                            https://www.amazon.com/-/es/tocoferol-saludable-antioxidante-verificado-laboratorio/dp/B0027ABBK4                            https://www.amazon.com/-/es/Healthy-Origins-Vitamina-natural-unidades/dp/B000IRJGZ0                            https://www.amazon.com/-/es/Healthy-Origins-Vitamina-natural-unidades/dp/B000IRJGZ0                            https://www.amazon.com/-/es/Vitamina-c%C3%A1psulas-blandas-unidades-paquete/dp/B0C6NM1K29                            https://www.amazon.com/-/es/Vitamina-c%C3%A1psulas-blandas-unidades-paquete/dp/B0C6NM1K29                            https://www.amazon.com/-/es/Vitamina-antioxidantes-naturales-inmunol%C3%B3gico-porciones/dp/B08JH637FW                            	6
https://www.amazon.com/-/es/Carlyle-Frijol-blanco-unidades-Extracto/dp/B08VNGSY4N	https://articulo.mercadolibre.com.co/MCO-1354607863	Bloqueador De Carbohidratos Frijol Blanco 6000 Mg 200 Cap	https://www.amazon.com/-/es/Carlyle-Frijol-blanco-unidades-Extracto/dp/B08VNGSY4N                            https://www.amazon.com/-/es/Carlyle-Frijol-blanco-unidades-Extracto/dp/B08VNGSY4N                            https://www.amazon.com/-/es/Double-Dragon-Organics-Extracto-frijol/dp/B07MJQMYP2                            https://www.amazon.com/-/es/Double-Dragon-Organics-Extracto-frijol/dp/B07MJQMYP2                            https://www.amazon.com/-/es/Natrol-Intercept-120-c%C3%A1psulas-Package-Quantity/dp/B00027D80A                            https://www.amazon.com/-/es/Natrol-Intercept-120-c%C3%A1psulas-Package-Quantity/dp/B00027D80A                            https://www.amazon.com/-/es/Nutrinix-p%C3%ADldoras-bloqueadoras-carbohidratos-suplemento/dp/B09GSZQMZ9                            https://www.amazon.com/-/es/Nutrinix-p%C3%ADldoras-bloqueadoras-carbohidratos-suplemento/dp/B09GSZQMZ9                            https://www.amazon.com/-/es/Clinical-Effects-Carb-Resist-carbohidratos/dp/B08MVDQ8DL                            https://www.amazon.com/-/es/Clinical-Effects-Carb-Resist-carbohidratos/dp/B08MVDQ8DL                            https://www.amazon.com/-/es/Absolute-Nutrition-Bloqueador-carbohidratos-c%C3%A1psulas/dp/B000B5A8YM                            https://www.amazon.com/-/es/Absolute-Nutrition-Bloqueador-carbohidratos-c%C3%A1psulas/dp/B000B5A8YM                            https://www.amazon.com/-/es/Carlyle-Frijol-blanco-unidades-Extracto/dp/B08VNGSY4N                            https://www.amazon.com/-/es/Double-Dragon-Organics-Extracto-frijol/dp/B07MJQMYP2                            https://www.amazon.com/-/es/Double-Dragon-Organics-Extracto-frijol/dp/B07MJQMYP2                            https://www.amazon.com/-/es/Natrol-Intercept-120-c%C3%A1psulas-Package-Quantity/dp/B00027D80A                            https://www.amazon.com/-/es/Nutrinix-p%C3%ADldoras-bloqueadoras-carbohidratos-suplemento/dp/B09GSZQMZ9                            https://www.amazon.com/-/es/Natrol-Intercept-120-c%C3%A1psulas-Package-Quantity/dp/B00027D80A                            https://www.amazon.com/-/es/Carlyle-Frijol-blanco-unidades-Extracto/dp/B08VNGSY4N                            https://www.amazon.com/-/es/Intercepci%C3%B3n-carbohidratos-neutralizador-almid%C3%B3n-c%C3%A1psulas/dp/B0000DANUO                            https://www.amazon.com/-/es/Nutrinix-p%C3%ADldoras-bloqueadoras-carbohidratos-suplemento/dp/B09GSZQMZ9                            https://www.amazon.com/-/es/Intercepci%C3%B3n-carbohidratos-neutralizador-almid%C3%B3n-c%C3%A1psulas/dp/B0000DANUO                            https://www.amazon.com/-/es/Intercepci%C3%B3n-carbohidratos-neutralizador-almid%C3%B3n-c%C3%A1psulas/dp/B0000DANUO                            https://www.amazon.com/-/es/Absoluta-Nutrici%C3%B3n-fblock-Chitosan-90-Cap/dp/B000FQ8FVK                            https://www.amazon.com/-/es/Absoluta-Nutrici%C3%B3n-fblock-Chitosan-90-Cap/dp/B000FQ8FVK                            	1
https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B08YS29PYW	https://articulo.mercadolibre.com.co/MCO-1271543965	Centrum Mujer Multivitaminico Gomitas Inmunologico 170 Und	https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B08YS29PYW                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B08YS29PYW                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-suplemento-multivitam%C3%ADnico-multimineral/dp/B0BSB16D8K                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-suplemento-multivitam%C3%ADnico-multimineral/dp/B0BSB16D8K                            https://www.amazon.com/-/es/multivitam%C3%ADnicas-multivitam%C3%ADnico-nutrientes-inmunol%C3%B3gico-metabolismo/dp/B093THWHTC                            https://www.amazon.com/-/es/multivitam%C3%ADnicas-multivitam%C3%ADnico-nutrientes-inmunol%C3%B3gico-metabolismo/dp/B093THWHTC                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B07R3GPSRG                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B07R3GPSRG                            https://www.amazon.com/-/es/Centrum-MultiGummies-Gomitas-multivitam%C3%ADnicas-multiminerales/dp/B01DRFG97W                            https://www.amazon.com/-/es/Centrum-MultiGummies-Gomitas-multivitam%C3%ADnicas-multiminerales/dp/B01DRFG97W                            https://www.amazon.com/-/es/combinado-unidades-inmunidad-metabolismo-muscular/dp/B0CFW5WCY2                            https://www.amazon.com/-/es/Centrum-MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral/dp/B09BK9X9YQ                            https://www.amazon.com/-/es/Centrum-MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral/dp/B09BK9X9YQ                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-suplemento-multivitam%C3%ADnico-multimineral/dp/B08YS37ZG2                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-suplemento-multivitam%C3%ADnico-multimineral/dp/B08YS37ZG2                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B0CMW213Q9                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B0CMW213Q9                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-especialmente-dise%C3%B1ado-saludables/dp/B08YS6M82M                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-especialmente-dise%C3%B1ado-saludables/dp/B08YS6M82M                            	3
https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B08YS68XG2	https://articulo.mercadolibre.com.co/MCO-1271544077	Centrum Multivitaminico Multimineral Hombres 170 Gomitas	https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B08YS68XG2                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B08YS68XG2                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B07QZ4QT1Q                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B07QZ4QT1Q                            https://www.amazon.com/-/es/Suplemento-multivitam%C3%ADnico-multimineral-MultriGummies-cantidad/dp/B01E6C4OJA                            https://www.amazon.com/-/es/Suplemento-multivitam%C3%ADnico-multimineral-MultriGummies-cantidad/dp/B01E6C4OJA                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-suplemento-multivitam%C3%ADnico-multimineral/dp/B0BSB16D8K                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-suplemento-multivitam%C3%ADnico-multimineral/dp/B0BSB16D8K                            https://www.amazon.com/-/es/Centrum-Gomitas-hombres-suplemento-multivitam%C3%ADnico/dp/B07R18HQYP                            https://www.amazon.com/-/es/Centrum-Gomitas-hombres-suplemento-multivitam%C3%ADnico/dp/B07R18HQYP                            https://www.amazon.com/-/es/multivitam%C3%ADnicas-tropicales-naturales-unidades-suministro/dp/B09WYRDXFL                            https://www.amazon.com/-/es/multivitam%C3%ADnicas-tropicales-naturales-unidades-suministro/dp/B09WYRDXFL                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-suplemento-multivitam%C3%ADnico-multimineral/dp/B08YS37ZG2                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-suplemento-multivitam%C3%ADnico-multimineral/dp/B08YS37ZG2                            https://www.amazon.com/-/es/multivitam%C3%ADnicas-tropicales-naturales-unidades-suministro/dp/B09SPNSYMB                            https://www.amazon.com/-/es/multivitam%C3%ADnicas-tropicales-naturales-unidades-suministro/dp/B09SPNSYMB                            https://www.amazon.com/-/es/MultiGummies-Multivitam%C3%ADnico-multivitam%C3%ADnico-multimineral-antioxidantes/dp/B0B2NF3CT8                            https://www.amazon.com/-/es/multivitam%C3%ADnicas-multivitam%C3%ADnico-nutrientes-esenciales-inmunol%C3%B3gico/dp/B093TFY88F                            https://www.amazon.com/-/es/multivitam%C3%ADnicas-multivitam%C3%ADnico-nutrientes-esenciales-inmunol%C3%B3gico/dp/B093TFY88F                            	5
https://www.amazon.com/-/es/Suplemento-cetoglut%C3%A1rico-recientemente-propiedades-envejecimiento/dp/B08QB8PQW5	https://articulo.mercadolibre.com.co/MCO-1649159774	Suplemento Akg Acido Alfa Cetoglutarico 1000 Mg 180 Capsula	https://www.amazon.com/-/es/Suplemento-cetoglut%C3%A1rico-recientemente-propiedades-envejecimiento/dp/B08QB8PQW5                            https://www.amazon.com/-/es/Suplemento-cetoglut%C3%A1rico-recientemente-propiedades-envejecimiento/dp/B08QB8PQW5                            https://www.amazon.com/-/es/Klaire-Labs-%C3%81cido-alfa-cetoglut%C3%A1rico-hipoalerg%C3%A9nicas/dp/B001VM5C36                            https://www.amazon.com/-/es/Klaire-Labs-%C3%81cido-alfa-cetoglut%C3%A1rico-hipoalerg%C3%A9nicas/dp/B001VM5C36                            https://www.amazon.com/-/es/Suplemento-ultra-alta-pureza-alfa-cetoglutarato/dp/B0C6YN6K2X                            https://www.amazon.com/-/es/Simplesa-suplemento-alfa-cetoglutarato-absorci%C3%B3n-muscular/dp/B00HBZEUTE                            https://www.amazon.com/-/es/envejecimiento-saludable-longevidad-liberaci%C3%B3n-retardada/dp/B0BYJ7QKS8                            https://www.amazon.com/-/es/envejecimiento-saludable-longevidad-liberaci%C3%B3n-retardada/dp/B0BYJ7QKS8                            https://www.amazon.com/-/es/Amino%C3%A1cido-Arginina-Potenciador-Miligramos-C%C3%A1psulas/dp/B0044084SW                            https://www.amazon.com/-/es/Amino%C3%A1cido-Arginina-Potenciador-Miligramos-C%C3%A1psulas/dp/B0044084SW                            	1
